author,text,date,likes,polarity,rating,emotion,aspect
don't worry 👑,Disno biar kata beras 1kg 100rb kan disana mana ada gaji sebulan 3jt doang maennya puluhan JT gajinya lahh coba di Konoha ada yg di bawah 2jt aja harus serba bisa waduhhh ngeri kali 🤪😁😁🔥,-,0,Negatif,1,Marah,Beras:Mahal
risalsalama92,pendapatan perkapita indonesia dgn jepang jauh bedah kaya langit dan bumi.,-,0,Negatif,1,Sarkas,Pendapatan perkapita Indonesia:Kecil
KSR GENK,kok di banding kan Jepang. apa g mikir gaji Indonesia sama Jepang itu gmana,-,0,Negatif,2,Sarkas,Gaji:Kecil
yeriii,beras Jepang vs bulog,-,0,Negatif,1,Marah,Beras:Mahal
Budhie,"jgn perbandingan dg jepang pak ,",-,0,Negatif,2,Sarkas,Perbandingan:Beda
wa_one Fashoin,Jepang gajih perbulan brpa coy,-,0,Negatif,2,Sarkas,Jepang:Gajih
capricorn🍂,KOK BISA YAA DIA BANDINGKAN HARGA SAMA DIJEPANG 😭 COBA BUAT UMR INDONESIA KAYAK JEPANG PAK TERUS HARGA INDONESIA,-,0,Negatif,2,Marah,Beras:Mahal
kukcuu,Langsung dipatahkan argumennya sama bu titiek😭,-,0,Negatif,2,Sarkas,Argumen:Mengkhawatirkan
Jenny Li,Jepang gaji paling kecil 20 juta sebulan Amran 🤷‍♀️Mentri Gemoy blunder semua 🤦‍♀️,-,0,Negatif,5,Sarkas,"Gaji:Kecil,Mentan:Blunder"
️,"Pecatt dia, sekelas pejabat pemikiran nya begini, di forum lagi",-,0,Negatif,1,Sarkas,Pemikiran:Mentan:Blunder
durian frozen fresh,Jepang UMR nya brapa pak,-,0,Negatif,5,Sarkas,Jepang:Curious
user3861095888657,lama2 semua menteri pak probowo omonganya seenaknya,-,0,Negatif,2,Sarkas,Mentan:Omonganya
Dilaa_,Ini INDO ANJIRR BUKANN JEPANGG,-,0,Negatif,2,Sarkas,Jepang:Beda
MMS,Jepang gajih buruh nya besar jangan di banding bandingkan sama indonesia pak kalo buat para pejabat 300 ribu per 1 kg nya mampu peli,-,0,Negatif,2,Sarkas,Jepang:BedaDenganIndonesia
Ponyoo™,"jepang negara maju incom perkapitanya juga sangat jomplang dengan indo,ni mentri gak riset dlu klo ngomong? 100rbu sekilo itu beras premium++",-,0,Negatif,2,Sarkas,Mentan:Blunder
rasmi na,"ada benernya juga sih ,di indo beras masih ada yang 10k per kilo , dibanding jepang 100k 10× lebih mahal , umr jepang 20 jt di indo 4 jt , cuma beda 5× lipat , jadi sama aja pengeluarannya di jepang lebih besar dari indo , kalau ngeliat kurs mah emang ga ada habisnya😂😂 , misal umr di indo naik otomatis semua harga bakal naik juga nanti ,susah sdm indo klo mikir maunya umr kaya jepang tapi harga barang sama kaya di indo 😂",-,0,Positif,4,Senang,UMR Indonesia:Kecil; Harga Beras:Mahal
ZhahiraKhumairah,"pak,klo gaji di indo setara sama jepang perbulan nya! saya rasa rakyat juga no complain klo beras juga 1kg 100rebu",-,0,Positif,5,Senang,Gaji:Sama
alyaa,"kepala keluarga gajinya 3jtan yang ditanggung anak, istri , diri sndiri, skiranya makan 2 kali sehari abis juga 1kg beras. 1kg =100.000 x 30 hari = 3jt juga gaji satu bulan abis utk beras doang kah pak?",-,0,Negatif,1,Marah,Beras:Mahal
cuicilan,"Mentri nya Pak Prabowo ngomong nya, Asal keluar aja, Gimana ini pak 🤣🤣🤣",-,0,Negatif,5,Sarkas,Mentan:Blunder
aji saputra,"Umr jepang emang ada yang 2,3 per bulan",-,0,Negatif,2,Sarkas,UMR:Kecil
🌷🐋,dari presentasi harga per kilo di banding umr rata2 aja lebih tinggi harga di Indonesia kocak,-,0,Negatif,2,Sarkas,Presentasi:HargaMahal
BA Lt.Pro,gajibjepang 20jt pak,-,0,Negatif,2,Sarkas,Gaji:Beda
dny_azzura,mkst nya bpk ini klo beras naik ekonomi petani bisa tambh dan para pemuda penggangguran bisa beralih jd petani,-,0,Positif,4,Senang,Beras:BisaTambah
mei27 🇯🇵🇮🇩,"Bapak menteri umr Jepang 26 juta kita Indonesia umr 2,6 juta 100:1 kok ada lucunya bapak ini loh😭😭🤣😂😂",-,0,Negatif,1,Marah,Mentan:Blunder
BangMeq🌞,100rb sekilo mata uang mereka brp....osnon,-,0,Negatif,2,Sarkas,Jepang:BedaDenganIndonesia
Francisw,JEPANG 120.000 RIBU / JAM woooyyy…… indo hitungannya bulanan cuma min 3jt klo di hitung kerja perjam cuma 3.800 RUPIAH. Ini aja ada yg gaji 1.5 jt….. KOCAK KOCAR DPR. DAHLAAAAAHHHH CAPEK GW SAMA DPR. Suruh sekolah SD lagi kali yah… apa sekolah atittute dulu gih,-,0,Negatif,5,Marah,DPR:Kocak
HF 25,bukannya salah satu syarat menjadi mentri itu harus berakal ya ??,-,0,Negatif,5,Sarkas,Mentan:Blunder
👑👑 👑 Yen GK,beda beras jepang sama beras Bulog coba bandingkan dgn Vietnam,-,0,Negatif,2,Sarkas,Beras:Beda
LEMON tea,"eeee pak pak , gini aja dah , naekin UMK , UMP , UMR kita sampai 50 jt perbulan , terus kalian mau naekin 100.000 beras 1kg , kita ladenin .",-,0,Negatif,5,Marah,Beras:Mahal
Bunga Melati,Sekarang ini mentri pertanian dah eror,-,0,Negatif,1,Marah,Mentan:Blunder
Arrun61928♍,Jepang beras 1kg 100k tpi gajinya juga lebih gede di Jepang njir,-,0,Negatif,2,Sarkas,Gaji:Besar
.,dijepang lowongan kerja banyak diindo ?,-,0,Negatif,2,Sarkas,Jepang:Beda
Dias Bundanya Azka,Jepang jgn dibandingkan dengan indonesia,-,0,Negatif,5,Marah,Jepang:BedaDenganIndonesia
AndikaaOnlyy,"HEEH, JANGAN MENTANG² LU MENTERI, GAJI GEDE, UANG BANYAK. SEENAKNYA NAIKIN HARGA BERAS. DILUARAN SANA MASIH BANYAK ORANG SUSAH, GIMANA? 🙏",-,0,Positif,5,Senang,Gaji:Banyak
puty,Bandingin sm jepang kocak,-,0,Negatif,2,Sarkas,Bandingin sm jepang:Kocak
Qy 💤,jepang gajinya berapa bapakkkkk,-,0,Negatif,2,Sarkas,Gaji:Kecil
AmandaNdaa,gpp sih sebener nya klo di bandingin sma jepang...cmn ya naikin jg umr indo samain dgn umr jepang...enak bnr congornya di banding2in sma negara maju😭,-,0,Negatif,2,Sarkas,Beras:Mahal
natsélra,"halah beras di oplos aja minta mahal cuih, bener sih untuk kesejahteraan petani, tpi kan pupuk bnyk di oplos, jadi minta buat ap 100k/kg",-,0,Negatif,2,Sarkas,Beras:Mahal
Hahahhahah297273,"kok bisa menteri ngomong gni, coba banyak in ilmu pengetahuan international nya, pdhl sering ada anggaran ke luar negri itu bljr apa..",-,0,Negatif,1,Sarkas,Mentan:Blunder
SoraXneo,Harga 📈 Umr 📉,-,0,Negatif,1,Marah,Mentan:Blunder
حياة الفطرة,tpi di jepang gajih mereka dan umr mereka gede lah Indonesia. 🗿🤣🤣🤣,-,0,Negatif,5,Sarkas,UMR Indonesia:Kecil
santri_rapuh,jepang gaji gede suasu,-,0,Negatif,2,Sarkas,Gaji:Kecil
YULIA CITRA,jepang kok di sama kan indonesia,-,0,Negatif,2,Marah,Jepang:Beda
R,"UMR di JEPANG berapa pak, dan kebijakan"" di jepang untuk rakyatnya itu dilihat juga pak menteri yg terhormat, jangan pandang naik nya mulu 😑",-,0,Negatif,2,Sarkas,Mentan:Blunder
Fitria ᡣ𐭩,"emang dpr tunjangan beras aja katanya 12jt🥺 walaupun beli 10 kilo masih sisa banyak, ya jelas ringan ga sih🥺",-,0,Negatif,2,Sarkas,Beras:Mahal
minoz,pak gaji di jepang besar pak lah kan di indo gaji ajh kebanyakan di potong pajak😭,-,0,Negatif,2,Sarkas,Gaji:Kecil
Abdulloh,gaji Indonesia disamakan kaya di Jepang ajh gpp😂,-,0,Negatif,2,Sarkas,Gaji:Kecil
wong banter ID,UMR jepang berapa boyyy jauh sama UMR Indonesia,-,0,Negatif,2,Marah,UMR:JepangTidakUMRIndonesia
Wdtaa✨,"Jepang UMR 20jt, disini UMR 2jt😏",-,0,Negatif,2,Sarkas,UMR:Beda
rendiuplex,ratoto gaji indo piro gaji jepang piro😂,-,0,Negatif,2,Sarkas,Gaji:Kecil
~🫧🌊💧~,yaelah ngapain Indonesia dan Jepang di samain,-,0,Negatif,1,Marah,Mentan:Blunder
razka,"paaaakkkk makanya klw beras pengen 100 rb perkilo,, gaji buruh juga naekin yang sesuai,,, jangan segala2 naek,,, tapi gaji buruh ngk naek2 , gmn ngk makin kismin,,,,, lucuuuuuuu🤣🤣🤣🤣🤣",-,0,Positif,5,Senang,Beras:Mahal
HAM★,"income percapita jepang 602.899.034,21 Rupiah income percapita Indonesia 78.620.000 Rupiah bedah jauh anying😑",-,0,Negatif,5,Marah,UMR Indonesia:BedaDenganJepang
naraaaa,"paaakkkk,jangan di samakan dgn jepang SDM jauh,pendapatan dan gaji apalg,jepang negara maju KLO indo negara dilarang maju",-,0,Negatif,1,Marah,"SDM:jauh,Beras:Mahal,Gaji:Kecil,Jepang:Maju,Indo:Dilarang"
🦋✨,"negara' jepang beras 100rb/kg, gaji juga ga kaya di Indonesia pakk maaf. kalo mau perbandingan harga, bapak juga bandingan gaji masyarakat Indonesia dan Jepang 😅",-,0,Positif,5,Senang,Beras:Murah
Reyzeen,HERAN OTQK NYA DIMANA,-,0,Negatif,5,Marah,Mentan:Blunder
jakabima12,suruh aja dia ke jepang,-,0,Negatif,2,Sarkas,Mentan:Blunder
90,Umr ny samain ky jepang jg pak,-,0,Negatif,1,Marah,Mentan:Blunder
beritautama.co.id,Indonesia dibandingkan dgn Jepang? Bapak2 itu siapa sih? Kayaknya pinter,-,0,Negatif,2,Sarkas,Bapak2:Mentan
Saliriesa Manoban,bpak jepang UMR nya besar indo UMR nya cuma ckup buat seblak 😑,-,0,Negatif,1,Marah,UMR:Beda
Rennz,Beras di jepang 100k dengan umr 20/30jt.lah indo sukur” gk nganggur aja udah bersyukur,-,0,Negatif,2,Sarkas,Beras:Mengeluh
Bhree,indonesia di bandingkan sama jepang 😂😂😂 kita menang lawan jepang itu cuman dalam sisi negatif pak,-,0,Negatif,2,Sarkas,Mentan:Blunder
💕💋💋,"UMR jepang gede pak , UMR Indonesia cuma sepucuk jari nya .. astagfirullah bapakkk ,, 😭😭😭",-,0,Negatif,5,Sedih,UMR Indonesia:BedaDenganJepang
Eca🐒,Wajrlah gaji sehari d jpang tu sejuta bo*ooh,-,0,Negatif,2,Sarkas,Gaji:Kecil
gadhira,apa gaji di Indonesia sama di Jepang sama pak? 😂,-,0,Negatif,2,Sarkas,Gaji:Kecil
ANGGA ORIN NAZA💎,gara gara gorong2,-,0,Negatif,2,Marah,Beras:Mahal
griyaashoope,lo sama in jepang sm Indonesia beda jauh pak...,-,0,Negatif,2,Marah,Beras:Mahal
Hannn❄️,"sudah kubilang memperkaya diri sndiri , pemikiran nya buat sndiri",-,0,Negatif,5,Sarkas,Pemikiran:Mengganggu
Dheaaa,Pak jangan dibandingkan sama jepang. Bandingkan tuh gajinya diindonesia sama dijepanh kalau mau disamain samain gajinya,-,0,Negatif,2,Sarkas,Bandingkan:MentanBlunder
diongarage,"Pendapatan perkapita uda beda, kesadaran diri pejabat nya jg ga ada,",-,0,Negatif,1,Sarkas,Pendapatan perkapita:Kecil
Tian Jojon,kebanyakan menikmati pajak jadi ngga tau pendapatan warganya,-,0,Negatif,2,Sarkas,Pajak:Mahal
Anietaku🦋,Makin sengsaralah kami rakyat kelas kebawah😭,-,0,Negatif,2,Sedih,Beras:Mahal
Baiq Ratnasari,Indonesia di bandingkan ma jepang 🤣🤣🤣 lawak negara ni 😜😜,-,0,Positif,5,Senang,Lawak Negara Ni:Bahagia
papagg88 retro,"Waduuh kok membandingkan dng jepang lah jauh beda la saya pernah dijepang waktu itu gaji buruh tani 10 rb yen per hari sementara harga beras 300 yen jadi intinya pendapatan buruh terendah dibuat mampu beli bahan pokok lah ini membandingkan nilai uang yg berbeda, sekelas Mentri kok begini😁😁😁",-,0,Positif,5,Senang,Jepang:Realita
Mas Ren,aduh udh mulai merembet ke menteri pertanian 😭🙏,-,0,Negatif,2,Marah,Mentan:Blunder
fenre berusaha tersenyum,jepang gajinya buruh 30 juta perbulan lha kita cuma 4 juta perbulan kok gak kamu sebut pak Amran? 🤣🤣🤣 pejabat nya wowo gak ada yg cerdas,-,0,Negatif,1,Marah,Mentan:Blunder
Naaaa,PAK SAMAIN ATUH UMR DIINDONESIA SAMA DIJEPANG SOKK GAJIHNYA SAMAIN,-,0,Negatif,5,Marah,UMR:BedaDenganJepang
haee.nad,ciahhh dibandingkan sama jepang 😭😭😂,-,0,Negatif,2,Sarkas,Jepang:Beda
mood cewe38,entah gimana cara brfikirnya😭,-,0,Negatif,2,Sarkas,Beras:Mahal
MISTER ALBI22,Gaji di Indonesia yg besar cuman anggota DPR dan uang beras mereka di tanggung negara alias uang rakyat.sedangkan rakyat dapat apa,-,0,Negatif,5,Marah,"Gaji:Besar,Mentan:Blunder"
Pangeran Wortel🧑‍🍳🥕,"Jepang pendapatan UMR nya 1000yen paling rendah atau 100rban perjam klo dikali 8 jam x 20 hari kerja = 16- 20jt an, beras di jpng 227rb/kg jadi perbandingannya 0.014. Di Indonesia rata rata 4jt/bln bersrti 70rb/5kg : 4jt = 0.017, rasio masih rendah jpg.",-,0,Negatif,2,Sarkas,Beras:Mahal
Haura Tangerang11,gpp 100rb/kg asal UMR nya 30jt/bulan,-,0,Negatif,2,Sarkas,UMR:Beda
aquarius _85,kenapa sih menteri pak prabowo pd gitu semua 😭😭😭,-,0,Negatif,2,Sarkas,Mentan:Blunder
hellowyak,JANGAN SAMAIN KEK JEPANG PAK COBA UMR SAMAIN DULU SAMA JEPANG! ALLAHUAKBAR😭,-,0,Negatif,1,Marah,Mentan:Blunder
Elisha_Nabiha,Susah aku mau berkata kata lagi 🥴😩,-,0,Negatif,1,Sarkas,Mentan:Blunder
cynthia,kok bisa orang dongo jd DPR,-,0,Negatif,5,Sarkas,Mentan:Blunder
Amelia🦋,"Coba keluar negeri pak, liat kehidupan di luar negeri itu gimana . Baru bisa disamakan dengan negara Indonesia",-,0,Positif,5,Senang,Aspek:Netral
Siti Abie,bisa bisanya dia jadi menteri,-,0,Negatif,2,Sarkas,Mentan:Blunder
Yang Mulia,"ya klo di jepang sesuai dengan pendapatan atau umr di sana tinggi,,mentri nya titipan semua ni anjj,gk ada yg bner",-,0,Negatif,1,Marah,Mentan:Blunder
sm,"jepang gaji 50 JT, indo gaji 1,5 belum kena pajak🗿",-,0,Negatif,2,Marah,Gaji:Kecil
Fitri Zuliyani,"is kalo aku disitu ku bilang "" Mending bapak pulang aja pak "" 😐",-,0,Negatif,5,Sarkas,Mentan:Blunder
crushginkzzzz,anjir di bandingkannya sama jepang🤣🤣🤣🤣🤣🤣,-,0,Negatif,5,Sarkas,Bandings:Beda
rafaaqilaaaa,soalnya di jepang ga ada DPR njir,-,0,Negatif,5,Sarkas,Jepang:NotTheSame
Fake,"Jepang harga nya mahal karena gaji nya mahal, ternyata yang tinggi jabatan bukan kepintaran",-,0,Negatif,2,Sarkas,Jepang:BedaGaji
BR Tani,"kalau petani aja kalah. negara pasti kalah. lihat lah perekonomian d bawah. petani murah, perekonomian segala bidang pasti sepi. coba survey jadi sales. pasti paham",-,0,Negatif,5,Sarkas,Pemerintahan:Blunder
elenaa10,pas ke gini Indonesia di banding sama jepang.,-,0,Negatif,1,Marah,Mentan:Blunder
zaynra,Ya mikirr pak pingin banget bandingin ama jepang,-,0,Negatif,2,Sarkas,Banding:Kritis
ガーニ • ヌール・イクラム,buset indonesia majapahit di bandingkan negara maju,-,0,Negatif,1,Marah,Mentan:Blunder
Jo,samakan UMR nya sama jepang pak. baru kami gk protes 😂😂,-,0,Negatif,2,Marah,UMR:Beda
Mira99,Ya iyaalaah gaji situ 100jt…umr jateng 2jtan pak boss,-,0,Negatif,1,Marah,Gaji:Kecil
☆Dny☆,jepang: “emang kita selevelll”,-,0,Negatif,5,Sarkas,Jepang:EmangKitaSelevel
puki,"ya kalok gaji kami di samakan sama gaji DPR yang sehari 3 juta , ya mau naik berapa pun mau 1 kilo 100k kami ga bakal bringsik pak. makin hari kok lama lama Indonesia ini makin bobrok aja pemerintahannya, sekolahanya aja yang tinggi tapi otaknya dangkal",-,0,Negatif,1,Marah,Pemerintahan:Bebas
Yohanes,Sudahlah masalah beras naik jangan di masalahkan. semakin mahal harga beras semakin bagus kuwalitas nya.,-,0,Positif,5,Senang,Beras:Bagus
WAN +60138361342,harga naik bukan di Indonesia sajah di negara maju pun naik juga di mlasiya Thun 2022 2023 hrga beras 10 kg 24rm sekarang 2025 harga beras 10kg 50rm jdi bukan di Indonesia sjh yg naik,-,0,Negatif,1,Marah,Harga:BerasMahal
titikduabintang,gajinya aja beda tolol,-,0,Negatif,2,Sarkas,Gajinya:Kecil
OntangAnting,pak dijepang rata rata UMR 20 jta/bln kalo indonesia UMR rata rata 19 jta/ bln jangankan harga beras 100rb/kg. 150rb/kg rakyat indonesia bakalan bayar. yg jadi pertanyaanku kenapa bapak tinggl diindonesia kenapa gk milih tinggal diindonesia..? kenapa malah pilih jadi anggota aparatur negara indonesia kenapa gk milih jadi anggota aparatur negara jepang saja..?,-,0,Negatif,5,Marah,Mentan:Blunder
Kim yn,stresss,-,0,Negatif,2,Stresss,Beras:Mahal
Piaacuu🍌,"rakyat bayar pajak untuk kalian,tapi mau naikin harga beras,sdangkan msih bnyk rakyt yg blm bisa beli beras krna harus bayar pajak biar kalian ada uang!",-,0,Negatif,2,Marah,Harga:Beras:Mahal
sesil,jepang 100rb/kg tapi gajinya tinggi pak🙂 masa mau dibandingin sama indo yg umr tertingginya aja masih blm 2 digit,-,0,Negatif,2,Marah,Jepang:BedaUMR
Flo Saragihh,ngomong yang penting ❎ yang penting ngomong✅,-,0,Negatif,1,Marah,Mentan:Blunder
Ali,itu kan kalo pake rupiah kocak emang lu beli beras di jepang pake uang rupiah 🗿😹,-,0,Positif,5,Senang,Jepang:Logik
🍭,ya tolong pak samakan gajinya fasilitas dll spt jepang jangan cm liatnya dr harga berasnya aja kaleeeer🙄,-,0,Negatif,2,Sarkas,Gaji:Kecil
milaadkhoerul,"Bu Titiek : ""OON !""",-,0,Negatif,2,Sarkas,Mentan:Blunder
D V Anggara,"beda bapaaaaakkk,. jepang indo itu pendapatan juga beda bapaaaakkk",-,0,Negatif,1,Marah,Jepang:BedaPendapatan
Maulana Azka,singkat padat ibuk ngomonh langsung betul buk😂,-,0,Negatif,5,Sarkas,Mentan:Blunder
🕸M joko🕸,cuma gitu doang minta gaji umr sehari,-,0,Negatif,2,Sarkas,Gaji:Kecil
🌙,"BRO PIKIR RUPIAH SAMA YEN SAMA, TRUS PIKIR GAJI NYA SAMAAAA JAUHHHH",-,0,Negatif,1,Sarkas,Mentan:Blunder
clarisadmy,"heh anjjjj, kalo mau gitu samain UMR nya sama JEPANG!!!!",-,0,Negatif,2,Sarkas,UMR:Beda
Ziezielie,Jepang pajak besar tapi fasilitas Ok pak hadeh,-,0,Positif,4,Senang,Jepang:FasilitasOk
QueenAleenaWicaksono,kebanyakan titipan pakdeh...rusak semua lini 😭,-,0,Negatif,2,Sarkas,Titipan:Pakdeh
azkaalwi1207,gajih nya samain dulu sm di jepang pa. yg katanya terhormat,-,0,Negatif,1,Sarkas,Mentan:Blunder
nurulazizah,naikin umr duluuuuu pakkk,-,0,Negatif,2,Marah,UMR:Besar
aris.tambunan,Menteri nya tidak kompeten kah? kenapa dia membandingkan dengan salah satu negara Maju yg pendapatan gaji perbulan org Jepang itu 20x kali lipat dari gaji perbulan org Indonesia yg cuma 2 - 5 juta per bulan.,-,0,Negatif,1,Marah,Mentan:Blunder
bro,ini apa ya pemerintah sekarang pajak ga menyesuaikan hasil pendapatan rakyat,-,0,Negatif,1,Marah,Pajak:Blunder
🌻,gajine padakne jepang yo pak yo,-,0,Negatif,2,Sarkas,Mentan:Blunder
rini,gaji di jepang lulusan sma aja 20 juta,-,0,Negatif,2,Sarkas,Gaji:Besar
Yescream,100rb/kg. yg ada nanti bakalan beralih ke singkong dan umbi2an.,-,0,Negatif,2,Sarkas,Beras:Mahal
neecha an neesha,Rumangsaku kog dewan2 yg terhormat ora ono seng bener ngene🤣🤣🤣,-,0,Positif,5,Senang,Dewan2:Bener
Mamah Nabhan,lah gaji dijepng aj jauh pak... di Indonesia jajanan pasar dijual 10 rebu aj dimaki😫😫😫,-,0,Negatif,2,Marah,Gaji:Kecil
@the must,laaaa yang ini baru mentrii jos... DPR yaa yang bluk dari petanii magetan,-,0,Negatif,1,Sarkas,Mentan:Blunder
Wisnu E. Islan,"lah mereka ngomong bgitu karna tunjangan beras mereka 12jt, itu pun dari pajak rakyat yg bayarin mereka. Seenaknya ngomong tanpa survey ke rakyatnya",-,0,Negatif,1,Marah,Mentan:Blunder
butuh kulup,pak.kenapa bisa naik saya tanya.,-,0,Negatif,1,Marah,Mentan:Blunder
Nursaman Ti,kamu mikir gak UMR kita brpa Bos mau di samain dgn Jepang. kocak Loh,-,0,Negatif,2,Sarkas,UMR:Malah
insole_,Dengan kesadaran penuh enteng bgt dia ngomong begitu,-,0,Negatif,2,Sarkas,Mentan:Blunder
